name,team,country,podiums,points,grands_prix_entered,world_championships,highest_race_finish,highest_grid_position,date_of_birth,place_of_birth,profile_img,helmet_img
Nino Farina,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-856948472",
Juan Manuel Fangio,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9North/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-827612408",
Alberto Ascari,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-106501211",
Mike Hawthorn,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9North/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-1068321752",
Jack Brabham,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9North/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-3323162",
Phil Hill,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9North/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-71183243",
Graham Hill,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-864209082",
Jim Clark,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-1328924500",
John Surtees,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-3072443",
Denny Hulme,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-1063718326",
Jackie Stewart,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-1443308803",
Jochen Rindt,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-831631668",
Emerson Fittipaldi,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-1189103543",
Niki Lauda,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-525577811",
James Hunt,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-827647160",
Mario Andretti,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-851859388",
Jody Scheckter,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-79750356",
Alan Jones,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-868507192",
Nelson Piquet,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-1066217104",
Keke Rosberg,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-464497739",
Alain Prost,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-537112453",
Ayrton Senna,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-659224375",
Nigel Mansell,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-865701928",
Michael Schumacher,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-72220757",
Damon Hill,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-868558648",
Jacques Villeneuve,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9Centre/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-52918273",
Mika Hakkinen,,,,,,,,,,,"https://media.formula1.com/image/upload/f_auto,c_limit,w_1440,q_auto/t_16by9South/f_auto/q_auto/fom-website/manual/Hall%20of%20Fame%202024/GettyImages-647968497",
