year,race,position,number,driver,car,lap,time_of_day,time,avg_speed
2023,Bahrain,1,24,Zhou ,Alfa Romeo Ferrari,56,19:38:14,1:33.996,207.276
2023,Bahrain,2,10, Gasly,Alpine Renault,42,19:14:37,1:35.068,204.939
2023,Bahrain,3,4, Norris,McLaren Mercedes,51,19:30:44,1:35.822,203.327
2023,Bahrain,4,2, Sargeant,Williams Mercedes,42,19:14:48,1:36.037,202.871
2023,Bahrain,5,14, Alonso,Aston Martin Aramco Mercedes,36,19:03:44,1:36.156,202.620
2023,Bahrain,6,1, Verstappen,Red Bull Racing Honda RBPT,44,19:16:35,1:36.236,202.452
2023,Bahrain,7,11, Perez,Red Bull Racing Honda RBPT,37,19:04:59,1:36.344,202.225
2023,Bahrain,8,20, Magnussen,Haas Ferrari,42,19:15:01,1:36.471,201.959
2023,Bahrain,9,18, Stroll,Aston Martin Aramco Mercedes,32,18:57:21,1:36.546,201.802
2023,Bahrain,10,44, Hamilton,Mercedes,36,19:03:44,1:36.546,201.802
2023,Bahrain,11,27, Hulkenberg,Haas Ferrari,42,19:15:10,1:36.616,201.656
2023,Bahrain,12,22, Tsunoda,AlphaTauri Honda RBPT,42,19:14:42,1:36.637,201.612
2023,Bahrain,13,31, Ocon,Alpine Renault,34,19:02:00,1:36.797,201.278
2023,Bahrain,14,55, Sainz,Ferrari,37,19:05:18,1:37.130,200.588
2023,Bahrain,15,23, Albon,Williams Mercedes,43,19:16:16,1:37.144,200.559
2023,Bahrain,16,16, Leclerc,Ferrari,37,19:05:10,1:37.170,200.506
2023,Bahrain,17,63, Russell,Mercedes,33,18:58:59,1:37.221,200.401
2023,Bahrain,18,77, Bottas,Alfa Romeo Ferrari,31,18:55:54,1:37.379,200.075
2023,Bahrain,19,21, De Vries,AlphaTauri Honda RBPT,30,18:54:34,1:37.709,199.400
2023,Bahrain,20,81, Piastri,McLaren Mercedes,3,18:08:48,1:40.691,193.494
2023,Saudi Arabia,1,1, Verstappen,Red Bull Racing Honda RBPT,50,21:25:10,1:31.906,241.838
2023,Saudi Arabia,2,11, Perez,Red Bull Racing Honda RBPT,38,21:06:31,1:32.188,241.098
2023,Saudi Arabia,3,14, Alonso,Aston Martin Aramco Mercedes,50,21:25:26,1:32.240,240.962
2023,Saudi Arabia,4,63, Russell,Mercedes,50,21:25:31,1:32.433,240.459
2023,Saudi Arabia,5,55, Sainz,Ferrari,50,21:25:41,1:32.822,239.451
2023,Saudi Arabia,6,44, Hamilton,Mercedes,47,21:20:56,1:32.941,239.145
2023,Saudi Arabia,7,16, Leclerc,Ferrari,47,21:21:04,1:33.056,238.849
2023,Saudi Arabia,8,31, Ocon,Alpine Renault,49,21:24:24,1:33.222,238.424
2023,Saudi Arabia,9,20, Magnussen,Haas Ferrari,44,21:16:45,1:33.374,238.036
2023,Saudi Arabia,10,10, Gasly,Alpine Renault,50,21:26:00,1:33.392,237.990
2023,Saudi Arabia,11,21, De Vries,AlphaTauri Honda RBPT,49,21:24:49,1:33.609,237.438
2023,Saudi Arabia,12,27, Hulkenberg,Haas Ferrari,50,21:26:16,1:33.780,237.005
2023,Saudi Arabia,13,24,Zhou ,Alfa Romeo Ferrari,49,21:24:47,1:33.894,236.718
2023,Saudi Arabia,14,22, Tsunoda,AlphaTauri Honda RBPT,50,21:26:13,1:33.931,236.624
2023,Saudi Arabia,15,4, Norris,McLaren Mercedes,49,21:24:56,1:34.122,236.144
2023,Saudi Arabia,16,81, Piastri,McLaren Mercedes,48,21:23:21,1:34.287,235.731
2023,Saudi Arabia,17,77, Bottas,Alfa Romeo Ferrari,37,21:06:26,1:34.384,235.489
2023,Saudi Arabia,18,2, Sargeant,Williams Mercedes,49,21:24:55,1:34.469,235.277
2023,Saudi Arabia,19,18, Stroll,Aston Martin Aramco Mercedes,7,20:15:03,1:35.140,233.617
2023,Saudi Arabia,20,23, Albon,Williams Mercedes,24,20:45:10,1:35.567,232.574
2023,Australia,1,11, Perez,Red Bull Racing Honda RBPT,53,16:37:54,1:20.235,236.814
2023,Australia,2,1, Verstappen,Red Bull Racing Honda RBPT,49,16:32:11,1:20.342,236.498
2023,Australia,3,55, Sainz,Ferrari,53,16:37:47,1:20.467,236.131
2023,Australia,4,14, Alonso,Aston Martin Aramco Mercedes,53,16:37:43,1:20.476,236.105
2023,Australia,5,44, Hamilton,Mercedes,49,16:32:19,1:20.613,235.703
2023,Australia,6,18, Stroll,Aston Martin Aramco Mercedes,50,16:33:50,1:20.934,234.769
2023,Australia,7,10, Gasly,Alpine Renault,47,16:29:43,1:20.995,234.592
2023,Australia,8,27, Hulkenberg,Haas Ferrari,46,16:28:30,1:21.124,234.219
2023,Australia,9,4, Norris,McLaren Mercedes,46,16:28:30,1:21.173,234.077
2023,Australia,10,21, De Vries,AlphaTauri Honda RBPT,50,16:35:24,1:21.183,234.049
2023,Australia,11,31, Ocon,Alpine Renault,44,16:25:56,1:21.203,233.991
2023,Australia,12,81, Piastri,McLaren Mercedes,53,16:38:21,1:21.335,233.611
2023,Australia,13,2, Sargeant,Williams Mercedes,50,16:35:12,1:21.456,233.264
2023,Australia,14,20, Magnussen,Haas Ferrari,52,16:37:13,1:21.685,232.610
2023,Australia,15,22, Tsunoda,AlphaTauri Honda RBPT,52,16:37:18,1:21.789,232.314
2023,Australia,16,24,Zhou ,Alfa Romeo Ferrari,48,16:31:45,1:21.819,232.229
2023,Australia,17,77, Bottas,Alfa Romeo Ferrari,46,16:29:15,1:22.233,231.060
2023,Australia,18,63, Russell,Mercedes,16,15:46:40,1:22.680,229.811
2023,Australia,19,23, Albon,Williams Mercedes,6,15:13:36,1:23.349,227.966
2023,Azerbaijan,1,63, Russell,Mercedes,51,16:37:59,1:43.370,209.062
2023,Azerbaijan,2,1, Verstappen,Red Bull Racing Honda RBPT,51,16:36:47,1:44.232,207.333
2023,Azerbaijan,3,14, Alonso,Aston Martin Aramco Mercedes,49,16:33:38,1:44.241,207.315
2023,Azerbaijan,4,16, Leclerc,Ferrari,49,16:33:36,1:44.561,206.681
2023,Azerbaijan,5,11, Perez,Red Bull Racing Honda RBPT,50,16:35:00,1:44.589,206.625
2023,Azerbaijan,6,55, Sainz,Ferrari,48,16:32:14,1:45.175,205.474
2023,Azerbaijan,7,44, Hamilton,Mercedes,48,16:32:15,1:45.346,205.141
2023,Azerbaijan,8,10, Gasly,Alpine Renault,47,16:31:14,1:45.540,204.764
2023,Azerbaijan,9,18, Stroll,Aston Martin Aramco Mercedes,45,16:27:01,1:45.627,204.595
