year,race,position,number,driver,car,time,laps
2005,Australia,1,6, Fisichella,Renault,3:01.460,6
2005,Australia,2,16, Trulli,Toyota,3:04.429,6
2005,Australia,3,7, Webber,Williams BMW,3:04.996,6
2005,Australia,4,11, Villeneuve,Sauber Petronas,3:06.846,6
2005,Australia,5,14, Coulthard,RBR Cosworth,3:07.212,6
2005,Australia,6,15, Klien,RBR Cosworth,3:07.477,6
2005,Australia,7,8, Heidfeld,Williams BMW,3:09.130,6
2005,Australia,8,3, Button,BAR Honda,3:12.128,6
2005,Australia,9,10, Montoya,McLaren Mercedes,3:14.645,6
2005,Australia,10,9, Räikkönen,McLaren Mercedes,3:15.558,6
2005,Australia,11,2, Barrichello,Ferrari,3:16.822,6
2005,Australia,12,19, Karthikeyan,Jordan Toyota,3:17.092,6
2005,Australia,13,5, Alonso,Renault,3:17.466,6
2005,Australia,14,18, Monteiro,Jordan Toyota,3:20.329,6
2005,Australia,15,17, Schumacher,Toyota,3:22.717,6
2005,Australia,16,20, Friesacher,Minardi Cosworth,3:28.363,6
2005,Australia,17,21, Albers,Minardi Cosworth,1:49.230,3
2005,Australia,18,1, Schumacher,Ferrari,1:57.931,4
2005,Australia,19,4, Sato,BAR Honda,,2
2005,Australia,20,12, Massa,Sauber Petronas,,2
2005,Malaysia,1,5, Alonso,Renault,3:07.672,6
2005,Malaysia,2,16, Trulli,Toyota,3:07.925,6
2005,Malaysia,3,6, Fisichella,Renault,3:08.448,6
2005,Malaysia,4,7, Webber,Williams BMW,3:08.904,6
2005,Malaysia,5,17, Schumacher,Toyota,3:09.007,6
2005,Malaysia,6,9, Räikkönen,McLaren Mercedes,3:09.483,6
2005,Malaysia,7,15, Klien,RBR Cosworth,3:09.589,6
2005,Malaysia,8,14, Coulthard,RBR Cosworth,3:09.700,6
2005,Malaysia,9,3, Button,BAR Honda,3:09.832,6
2005,Malaysia,10,8, Heidfeld,Williams BMW,3:09.917,6
2005,Malaysia,11,10, Montoya,McLaren Mercedes,3:10.090,6
2005,Malaysia,12,2, Barrichello,Ferrari,3:11.502,6
2005,Malaysia,13,1, Schumacher,Ferrari,3:11.633,6
2005,Malaysia,14,12, Massa,Sauber Petronas,3:11.884,6
2005,Malaysia,15,4, Davidson,BAR Honda,3:11.890,6
2005,Malaysia,16,11, Villeneuve,Sauber Petronas,3:12.995,6
2005,Malaysia,17,19, Karthikeyan,Jordan Toyota,3:17.656,6
2005,Malaysia,18,18, Monteiro,Jordan Toyota,3:17.962,6
2005,Malaysia,19,20, Friesacher,Minardi Cosworth,3:21.186,6
2005,Malaysia,20,21, Albers,Minardi Cosworth,3:23.001,6
2005,Bahrain,1,5, Alonso,Renault,3:01.902,6
2005,Bahrain,2,1, Schumacher,Ferrari,3:02.357,6
2005,Bahrain,3,16, Trulli,Toyota,3:02.660,6
