year,race,stops,number,driver,car,lap,time_of_day,time,total
2023,Bahrain,1,10, Gasly,Alpine Renault,,,25.885,25.885
2023,Bahrain,1,4, Norris,McLaren Mercedes,,,32.766,32.766
2023,Bahrain,1,22, Tsunoda,AlphaTauri Honda RBPT,,,25.267,25.267
2023,Bahrain,1,77, Bottas,Alfa Romeo Ferrari,,,25.399,25.399
2023,Bahrain,1,23, Albon,Williams Mercedes,,,25.054,25.054
2023,Bahrain,1,27, Hulkenberg,Haas Ferrari,,,26.075,26.075
2023,Bahrain,1,21, De Vries,AlphaTauri Honda RBPT,,,25.018,25.018
2023,Bahrain,1,44, Hamilton,Mercedes,,,24.682,24.682
2023,Bahrain,1,31, Ocon,Alpine Renault,,,24.966,24.966
2023,Bahrain,1,2, Sargeant,Williams Mercedes,,,25.600,25.600
2023,Bahrain,1,24,Zhou ,Alfa Romeo Ferrari,,,25.787,25.787
2023,Bahrain,1,16, Leclerc,Ferrari,,,24.345,24.345
2023,Bahrain,1,55, Sainz,Ferrari,,,24.500,24.500
2023,Bahrain,1,63, Russell,Mercedes,,,27.062,27.062
2023,Bahrain,1,1, Verstappen,Red Bull Racing Honda RBPT,,,24.289,24.289
2023,Bahrain,1,14, Alonso,Aston Martin Aramco Mercedes,,,25.800,25.800
2023,Bahrain,1,18, Stroll,Aston Martin Aramco Mercedes,,,25.449,25.449
2023,Bahrain,1,20, Magnussen,Haas Ferrari,,,25.439,25.439
2023,Bahrain,2,31, Ocon,Alpine Renault,,,41.462,1:06.428
2023,Bahrain,1,11, Perez,Red Bull Racing Honda RBPT,,,24.264,24.264
2023,Bahrain,2,4, Norris,McLaren Mercedes,,,33.661,1:06.427
2023,Bahrain,2,10, Gasly,Alpine Renault,,,24.879,50.764
2023,Bahrain,2,23, Albon,Williams Mercedes,,,24.920,49.974
2023,Bahrain,2,22, Tsunoda,AlphaTauri Honda RBPT,,,24.372,49.639
2023,Bahrain,2,27, Hulkenberg,Haas Ferrari,,,37.769,1:03.844
2023,Bahrain,2,21, De Vries,AlphaTauri Honda RBPT,,,25.234,50.252
2023,Bahrain,3,4, Norris,McLaren Mercedes,,,33.467,1:39.894
2023,Bahrain,2,77, Bottas,Alfa Romeo Ferrari,,,25.643,51.042
2023,Bahrain,2,20, Magnussen,Haas Ferrari,,,25.344,50.783
2023,Bahrain,2,44, Hamilton,Mercedes,,,24.690,49.372
2023,Bahrain,2,18, Stroll,Aston Martin Aramco Mercedes,,,24.639,50.088
2023,Bahrain,2,2, Sargeant,Williams Mercedes,,,25.670,51.270
2023,Bahrain,2,55, Sainz,Ferrari,,,24.227,48.727
2023,Bahrain,2,63, Russell,Mercedes,,,24.406,51.468
2023,Bahrain,2,24,Zhou ,Alfa Romeo Ferrari,,,25.282,51.069
2023,Bahrain,3,31, Ocon,Alpine Renault,,,44.518,1:50.946
2023,Bahrain,2,16, Leclerc,Ferrari,,,24.644,48.989
2023,Bahrain,2,11, Perez,Red Bull Racing Honda RBPT,,,25.091,49.355
2023,Bahrain,2,14, Alonso,Aston Martin Aramco Mercedes,,,24.869,50.669
2023,Bahrain,2,1, Verstappen,Red Bull Racing Honda RBPT,,,24.910,49.199
2023,Bahrain,4,4, Norris,McLaren Mercedes,,,33.236,2:13.130
2023,Bahrain,3,23, Albon,Williams Mercedes,,,24.458,1:14.432
2023,Bahrain,3,10, Gasly,Alpine Renault,,,24.736,1:15.500
2023,Bahrain,3,22, Tsunoda,AlphaTauri Honda RBPT,,,25.818,1:15.457
2023,Bahrain,3,2, Sargeant,Williams Mercedes,,,25.047,1:16.317
2023,Bahrain,3,20, Magnussen,Haas Ferrari,,,25.125,1:15.908
2023,Bahrain,3,27, Hulkenberg,Haas Ferrari,,,27.080,1:30.924
2023,Bahrain,5,4, Norris,McLaren Mercedes,,,30.710,2:43.840
2023,Bahrain,3,24,Zhou ,Alfa Romeo Ferrari,,,30.167,1:21.236
2023,Bahrain,6,4, Norris,McLaren Mercedes,,,31.494,3:15.334
2023,Saudi Arabia,1,81, Piastri,McLaren Mercedes,,,31.534,31.534
2023,Saudi Arabia,1,4, Norris,McLaren Mercedes,,,29.444,29.444
2023,Saudi Arabia,1,20, Magnussen,Haas Ferrari,,,20.870,20.870
2023,Saudi Arabia,1,77, Bottas,Alfa Romeo Ferrari,,,21.505,21.505
2023,Saudi Arabia,1,24,Zhou ,Alfa Romeo Ferrari,,,21.703,21.703
2023,Saudi Arabia,1,27, Hulkenberg,Haas Ferrari,,,21.567,21.567
2023,Saudi Arabia,1,18, Stroll,Aston Martin Aramco Mercedes,,,21.150,21.150
2023,Saudi Arabia,1,10, Gasly,Alpine Renault,,,20.719,20.719
2023,Saudi Arabia,1,55, Sainz,Ferrari,,,20.760,20.760
