year,race,position,number,driver,car,time,laps
2005,Australia,1,6, Fisichella,Renault,1:33.171,3
2005,Australia,2,16, Trulli,Toyota,1:35.270,3
2005,Australia,3,7, Webber,Williams BMW,1:36.717,3
2005,Australia,4,11, Villeneuve,Sauber Petronas,1:36.984,3
2005,Australia,5,15, Klien,RBR Cosworth,1:37.486,3
2005,Australia,6,14, Coulthard,RBR Cosworth,1:38.320,3
2005,Australia,7,8, Heidfeld,Williams BMW,1:39.717,3
2005,Australia,8,3, Button,BAR Honda,1:41.512,3
2005,Australia,9,19, Karthikeyan,Jordan Toyota,1:44.357,3
2005,Australia,10,9, Räikkönen,McLaren Mercedes,1:44.997,3
2005,Australia,11,10, Montoya,McLaren Mercedes,1:45.325,3
2005,Australia,12,2, Barrichello,Ferrari,1:45.481,3
2005,Australia,13,18, Monteiro,Jordan Toyota,1:46.846,3
2005,Australia,14,5, Alonso,Renault,1:47.708,3
2005,Australia,15,21, Albers,Minardi Cosworth,1:49.230,3
2005,Australia,16,20, Friesacher,Minardi Cosworth,1:50.864,3
2005,Australia,17,17, Schumacher,Toyota,1:51.495,3
2005,Australia,18,1, Schumacher,Ferrari,1:57.931,3
2005,Australia,19,4, Sato,BAR Honda,,1
2005,Australia,20,12, Massa,Sauber Petronas,,2
2005,Malaysia,1,5, Alonso,Renault,1:32.582,3
2005,Malaysia,2,16, Trulli,Toyota,1:32.672,3
2005,Malaysia,3,6, Fisichella,Renault,1:32.765,3
2005,Malaysia,4,9, Räikkönen,McLaren Mercedes,1:32.839,3
2005,Malaysia,5,17, Schumacher,Toyota,1:33.106,3
2005,Malaysia,6,7, Webber,Williams BMW,1:33.204,3
2005,Malaysia,7,10, Montoya,McLaren Mercedes,1:33.333,3
2005,Malaysia,8,8, Heidfeld,Williams BMW,1:33.464,3
2005,Malaysia,9,3, Button,BAR Honda,1:33.616,3
2005,Malaysia,10,15, Klien,RBR Cosworth,1:33.724,3
2005,Malaysia,11,14, Coulthard,RBR Cosworth,1:33.809,3
2005,Malaysia,12,1, Schumacher,Ferrari,1:34.072,3
2005,Malaysia,13,12, Massa,Sauber Petronas,1:34.151,3
2005,Malaysia,14,2, Barrichello,Ferrari,1:34.162,3
2005,Malaysia,15,4, Davidson,BAR Honda,1:34.866,3
2005,Malaysia,16,11, Villeneuve,Sauber Petronas,1:34.887,3
2005,Malaysia,17,19, Karthikeyan,Jordan Toyota,1:37.806,3
2005,Malaysia,18,18, Monteiro,Jordan Toyota,1:37.856,3
2005,Malaysia,19,20, Friesacher,Minardi Cosworth,1:39.268,3
2005,Malaysia,20,21, Albers,Minardi Cosworth,1:40.432,3
2005,Bahrain,1,5, Alonso,Renault,1:29.848,3
2005,Bahrain,2,16, Trulli,Toyota,1:29.993,3
2005,Bahrain,3,1, Schumacher,Ferrari,1:30.237,3
2005,Bahrain,4,8, Heidfeld,Williams BMW,1:30.390,3
2005,Bahrain,5,6, Fisichella,Renault,1:30.445,3
2005,Bahrain,6,7, Webber,Williams BMW,1:30.592,3
2005,Bahrain,7,9, Räikkönen,McLaren Mercedes,1:30.594,3
2005,Bahrain,8,15, Klien,RBR Cosworth,1:30.646,3
2005,Bahrain,9,10, de la Rosa,McLaren Mercedes,1:30.725,3
2005,Bahrain,10,12, Massa,Sauber Petronas,1:30.933,3
2005,Bahrain,11,17, Schumacher,Toyota,1:30.952,3
2005,Bahrain,12,3, Button,BAR Honda,1:30.957,3
2005,Bahrain,13,4, Sato,BAR Honda,1:31.113,3
2005,Bahrain,14,14, Coulthard,RBR Cosworth,1:31.211,3
2005,Bahrain,15,2, Barrichello,Ferrari,1:31.826,3
2005,Bahrain,16,11, Villeneuve,Sauber Petronas,1:32.318,3
2005,Bahrain,17,19, Karthikeyan,Jordan Toyota,1:33.190,3
2005,Bahrain,18,18, Monteiro,Jordan Toyota,1:33.424,3
2005,Bahrain,19,21, Albers,Minardi Cosworth,1:34.005,3
2005,Bahrain,20,20, Friesacher,Minardi Cosworth,1:34.848,3
2005,San Marino,1,9, Räikkönen,McLaren Mercedes,1:19.886,3
2005,San Marino,2,5, Alonso,Renault,1:19.889,3
2005,San Marino,3,1, Schumacher,Ferrari,1:20.260,3
2005,San Marino,4,7, Webber,Williams BMW,1:20.442,3
2005,San Marino,5,3, Button,BAR Honda,1:20.464,3
2005,San Marino,6,16, Trulli,Toyota,1:20.492,3
2005,San Marino,7,12, Massa,Sauber Petronas,1:20.593,3
2005,San Marino,8,10, Wurz,McLaren Mercedes,1:20.632,3
2005,San Marino,9,8, Heidfeld,Williams BMW,1:20.807,3
2005,San Marino,10,4, Sato,BAR Honda,1:20.851,3
2005,San Marino,11,2, Barrichello,Ferrari,1:20.892,3
2005,San Marino,12,17, Schumacher,Toyota,1:20.994,3
2005,San Marino,13,11, Villeneuve,Sauber Petronas,1:20.999,3
2005,San Marino,14,14, Coulthard,RBR Cosworth,1:21.632,3
2005,San Marino,15,6, Fisichella,Renault,1:21.708,3
2005,San Marino,16,15, Liuzzi,RBR Cosworth,1:21.804,3
2005,San Marino,17,19, Karthikeyan,Jordan Toyota,1:23.123,3
2005,San Marino,18,18, Monteiro,Jordan Toyota,1:25.100,3
2005,San Marino,19,21, Albers,Minardi Cosworth,1:25.921,3
2005,San Marino,20,20, Friesacher,Minardi Cosworth,1:26.484,3
2005,Spain,1,16, Trulli,Toyota,1:14.795,3
2005,Spain,2,5, Alonso,Renault,1:14.811,3
2005,Spain,3,9, Räikkönen,McLaren Mercedes,1:14.819,3
2005,Spain,4,17, Schumacher,Toyota,1:14.870,3
2005,Spain,5,8, Heidfeld,Williams BMW,1:15.038,3
2005,Spain,6,7, Webber,Williams BMW,1:15.042,3
2005,Spain,7,1, Schumacher,Ferrari,1:15.398,3
2005,Spain,8,6, Fisichella,Renault,1:15.601,3
2005,Spain,9,2, Barrichello,Ferrari,1:15.746,3
2005,Spain,10,14, Coulthard,RBR Cosworth,1:15.795,3
2005,Spain,11,12, Massa,Sauber Petronas,1:15.863,3
2005,Spain,12,10, Montoya,McLaren Mercedes,1:15.902,3
2005,Spain,13,15, Liuzzi,RBR Cosworth,1:16.288,3
2005,Spain,14,11, Villeneuve,Sauber Petronas,1:16.794,3
2005,Spain,15,19, Karthikeyan,Jordan Toyota,1:18.557,3
2005,Spain,16,18, Monteiro,Jordan Toyota,1:19.040,3
2005,Spain,17,21, Albers,Minardi Cosworth,1:19.563,3
2005,Spain,18,20, Friesacher,Minardi Cosworth,1:20.306,3
2005,Monaco,1,9, Räikkönen,McLaren Mercedes,1:13.644,3
2005,Monaco,2,5, Alonso,Renault,1:14.125,3
2005,Monaco,3,7, Webber,Williams BMW,1:14.584,3
2005,Monaco,4,6, Fisichella,Renault,1:14.783,3
2005,Monaco,5,10, Montoya,McLaren Mercedes,1:14.858,3
2005,Monaco,6,8, Heidfeld,Williams BMW,1:15.128,3
2005,Monaco,7,16, Trulli,Toyota,1:15.189,3
2005,Monaco,8,14, Coulthard,RBR Cosworth,1:15.329,3
2005,Monaco,9,11, Villeneuve,Sauber Petronas,1:15.921,3
2005,Monaco,10,2, Barrichello,Ferrari,1:16.142,3
2005,Monaco,11,1, Schumacher,Ferrari,1:16.186,3
2005,Monaco,12,12, Massa,Sauber Petronas,1:16.218,3
2005,Monaco,13,15, Liuzzi,RBR Cosworth,1:16.817,3
2005,Monaco,14,20, Friesacher,Minardi Cosworth,1:18.574,3
2005,Monaco,15,21, Albers,Minardi Cosworth,1:19.229,3
2005,Monaco,16,18, Monteiro,Jordan Toyota,1:19.408,3
2005,Monaco,17,19, Karthikeyan,Jordan Toyota,1:19.474,3
2005,Monaco,18,17, Schumacher,Toyota,,2
2004,Australia,1,3, Montoya,Williams BMW,1:25.226,3
2004,Australia,2,1, Schumacher,Ferrari,1:25.301,3
2004,Australia,3,4, Schumacher,Williams BMW,1:25.445,3
2004,Australia,4,6, Räikkönen,McLaren Mercedes,1:25.592,3
2004,Australia,5,5, Coulthard,McLaren Mercedes,1:25.652,3
2004,Australia,6,9, Button,BAR Honda,1:25.898,3
