year,race,position,number,driver,car,laps,time,points
2023,Bahrain,1,1, Verstappen,Red Bull Racing Honda RBPT,57,1:33:56.736,25
2023,Bahrain,2,11, Perez,Red Bull Racing Honda RBPT,57,+11.987s,18
2023,Bahrain,3,14, Alonso,Aston Martin Aramco Mercedes,57,+38.637s,15
2023,Bahrain,4,55, Sainz,Ferrari,57,+48.052s,12
2023,Bahrain,5,44, Hamilton,Mercedes,57,+50.977s,10
2023,Bahrain,6,18, Stroll,Aston Martin Aramco Mercedes,57,+54.502s,8
2023,Bahrain,7,63, Russell,Mercedes,57,+55.873s,6
2023,Bahrain,8,77, Bottas,Alfa Romeo Ferrari,57,+72.647s,4
2023,Bahrain,9,10, Gasly,Alpine Renault,57,+73.753s,2
2023,Bahrain,10,23, Albon,Williams Mercedes,57,+89.774s,1
2023,Bahrain,11,22, Tsunoda,AlphaTauri Honda RBPT,57,+90.870s,0
2023,Bahrain,12,2, Sargeant,Williams Mercedes,56,+1 lap,0
2023,Bahrain,13,20, Magnussen,Haas Ferrari,56,+1 lap,0
2023,Bahrain,14,21, De Vries,AlphaTauri Honda RBPT,56,+1 lap,0
2023,Bahrain,15,27, Hulkenberg,Haas Ferrari,56,+1 lap,0
2023,Bahrain,16,24,Zhou ,Alfa Romeo Ferrari,56,+1 lap,0
2023,Bahrain,17,4, Norris,McLaren Mercedes,55,+2 laps,0
2023,Bahrain,NC,31, Ocon,Alpine Renault,41,DNF,0
2023,Bahrain,NC,16, Leclerc,Ferrari,39,DNF,0
2023,Bahrain,NC,81, Piastri,McLaren Mercedes,13,DNF,0
2023,Saudi Arabia,1,11, Perez,Red Bull Racing Honda RBPT,50,1:21:14.894,25
2023,Saudi Arabia,2,1, Verstappen,Red Bull Racing Honda RBPT,50,+5.355s,0
2023,Saudi Arabia,3,14, Alonso,Aston Martin Aramco Mercedes,50,+20.728s,15
2023,Saudi Arabia,4,63, Russell,Mercedes,50,+25.866s,12
2023,Saudi Arabia,5,44, Hamilton,Mercedes,50,+31.065s,10
2023,Saudi Arabia,6,55, Sainz,Ferrari,50,+35.876s,8
2023,Saudi Arabia,7,16, Leclerc,Ferrari,50,+43.162s,6
2023,Saudi Arabia,8,31, Ocon,Alpine Renault,50,+52.832s,4
