year,race,position,number,driver,car,laps,time,points
2023,Bahrain,1,1, Verstappen,,57,1:33:56.736,25
2023,Bahrain,2,11, Perez,,57,+11.987s,18
2023,Bahrain,3,14, Alonso,,57,+38.637s,15
2023,Bahrain,4,55, Sainz,,57,+48.052s,12
2023,Bahrain,5,44, Hamilton,,57,+50.977s,10
2023,Bahrain,6,18, Stroll,,57,+54.502s,8
2023,Bahrain,7,63, Russell,,57,+55.873s,6
2023,Bahrain,8,77, Bottas,,57,+72.647s,4
2023,Bahrain,9,10, Gasly,,57,+73.753s,2
2023,Bahrain,10,23, Albon,,57,+89.774s,1
2023,Bahrain,11,22, Tsunoda,,57,+90.870s,0
2023,Bahrain,12,2, Sargeant,,56,+1 lap,0
2023,Bahrain,13,20, Magnussen,,56,+1 lap,0
2023,Bahrain,14,21, De Vries,,56,+1 lap,0
2023,Bahrain,15,27, Hulkenberg,,56,+1 lap,0
2023,Bahrain,16,24,Zhou ,,56,+1 lap,0
2023,Bahrain,17,4, Norris,,55,+2 laps,0
2023,Bahrain,NC,31, Ocon,,41,DNF,0
2023,Bahrain,NC,16, Leclerc,,39,DNF,0
2023,Bahrain,NC,81, Piastri,,13,DNF,0
2023,Saudi Arabia,1,11, Perez,,50,1:21:14.894,25
2023,Saudi Arabia,2,1, Verstappen,,50,+5.355s,0
2023,Saudi Arabia,3,14, Alonso,,50,+20.728s,15
2023,Saudi Arabia,4,63, Russell,,50,+25.866s,12
2023,Saudi Arabia,5,44, Hamilton,,50,+31.065s,10
2023,Saudi Arabia,6,55, Sainz,,50,+35.876s,8
2023,Saudi Arabia,7,16, Leclerc,,50,+43.162s,6
2023,Saudi Arabia,8,31, Ocon,,50,+52.832s,4
2023,Saudi Arabia,9,10, Gasly,,50,+54.747s,2
2023,Saudi Arabia,10,20, Magnussen,,50,+64.826s,1
2023,Saudi Arabia,11,22, Tsunoda,,50,+67.494s,0
2023,Saudi Arabia,12,27, Hulkenberg,,50,+70.588s,0
2023,Saudi Arabia,13,24,Zhou ,,50,+76.060s,0
2023,Saudi Arabia,14,21, De Vries,,50,+77.478s,0
2023,Saudi Arabia,15,81, Piastri,,50,+85.021s,0
2023,Saudi Arabia,16,2, Sargeant,,50,+86.293s,0
2023,Saudi Arabia,17,4, Norris,,50,+86.445s,0
2023,Saudi Arabia,18,77, Bottas,,49,+1 lap,0
2023,Saudi Arabia,NC,23, Albon,,27,DNF,0
2023,Saudi Arabia,NC,18, Stroll,,16,DNF,0
2023,Australia,1,1, Verstappen,,58,2:32:38.371,25
2023,Australia,2,44, Hamilton,,58,+0.179s,18
2023,Australia,3,14, Alonso,,58,+0.769s,15
2023,Australia,4,18, Stroll,,58,+3.082s,12
2023,Australia,5,11, Perez,,58,+3.320s,11
2023,Australia,6,4, Norris,,58,+3.701s,8
2023,Australia,7,27, Hulkenberg,,58,+4.939s,6
2023,Australia,8,81, Piastri,,58,+5.382s,4
2023,Australia,9,24,Zhou ,,58,+5.713s,2
2023,Australia,10,22, Tsunoda,,58,+6.052s,1
2023,Australia,11,77, Bottas,,58,+6.513s,0
2023,Australia,12,55, Sainz,,58,+6.594s,0
2023,Australia,13,10, Gasly,,56,DNF,0
2023,Australia,14,31, Ocon,,56,DNF,0
2023,Australia,15,21, De Vries,,56,DNF,0
2023,Australia,16,2, Sargeant,,56,DNF,0
2023,Australia,17,20, Magnussen,,52,DNF,0
2023,Australia,NC,63, Russell,,17,DNF,0
2023,Australia,NC,23, Albon,,6,DNF,0
2023,Australia,NC,16, Leclerc,,0,DNF,0
2023,Azerbaijan,1,11, Perez,,51,1:32:42.436,25
2023,Azerbaijan,2,1, Verstappen,,51,+2.137s,18
2023,Azerbaijan,3,16, Leclerc,,51,+21.217s,15
2023,Azerbaijan,4,14, Alonso,,51,+22.024s,12
2023,Azerbaijan,5,55, Sainz,,51,+45.491s,10
2023,Azerbaijan,6,44, Hamilton,,51,+46.145s,8
2023,Azerbaijan,7,18, Stroll,,51,+51.617s,6
2023,Azerbaijan,8,63, Russell,,51,+74.240s,5
2023,Azerbaijan,9,4, Norris,,51,+80.376s,2
2023,Azerbaijan,10,22, Tsunoda,,51,+83.862s,1
2023,Azerbaijan,11,81, Piastri,,51,+86.501s,0
2023,Azerbaijan,12,23, Albon,,51,+88.623s,0
2023,Azerbaijan,13,20, Magnussen,,51,+89.729s,0
2023,Azerbaijan,14,10, Gasly,,51,+91.332s,0
2023,Azerbaijan,15,31, Ocon,,51,+97.794s,0
2023,Azerbaijan,16,2, Sargeant,,51,+100.943s,0
2023,Azerbaijan,17,27, Hulkenberg,,50,+1 lap,0
2023,Azerbaijan,18,77, Bottas,,50,+1 lap,0
2023,Azerbaijan,NC,24,Zhou ,,36,DNF,0
2023,Azerbaijan,NC,21, De Vries,,9,DNF,0
2023,Miami,1,1, Verstappen,,57,1:27:38.241,26
2023,Miami,2,11, Perez,,57,+5.384s,18
2023,Miami,3,14, Alonso,,57,+26.305s,15
2023,Miami,4,63, Russell,,57,+33.229s,12
2023,Miami,5,55, Sainz,,57,+42.511s,10
2023,Miami,6,44, Hamilton,,57,+51.249s,8
2023,Miami,7,16, Leclerc,,57,+52.988s,6
2023,Miami,8,10, Gasly,,57,+55.670s,4
2023,Miami,9,31, Ocon,,57,+58.123s,2
2023,Miami,10,20, Magnussen,,57,+62.945s,1
2023,Miami,11,22, Tsunoda,,57,+64.309s,0
2023,Miami,12,18, Stroll,,57,+64.754s,0
2023,Miami,13,77, Bottas,,57,+71.637s,0
2023,Miami,14,23, Albon,,57,+72.861s,0
2023,Miami,15,27, Hulkenberg,,57,+74.950s,0
2023,Miami,16,24,Zhou ,,57,+78.440s,0
2023,Miami,17,4, Norris,,57,+87.717s,0
2023,Miami,18,21, De Vries,,57,+88.949s,0
2023,Miami,19,81, Piastri,,56,+1 lap,0
2023,Miami,20,2, Sargeant,,56,+1 lap,0
2023,Emilia Romagna,,,,,,,
2023,Monaco,1,1, Verstappen,,78,1:48:51.980,25
2023,Monaco,2,14, Alonso,,78,+27.921s,18
2023,Monaco,3,31, Ocon,,78,+36.990s,15
2023,Monaco,4,44, Hamilton,,78,+39.062s,13
2023,Monaco,5,63, Russell,,78,+56.284s,10
2023,Monaco,6,16, Leclerc,,78,+61.890s,8
2023,Monaco,7,10, Gasly,,78,+62.362s,6
2023,Monaco,8,55, Sainz,,78,+63.391s,4
2023,Monaco,9,4, Norris,,77,+1 lap,2
